#Wave		#Intensity
3495.491211	1652.971802
3494.846680	1559.846558
3494.202148	1637.126465
3493.557617	1768.677246
3492.913086	1686.890991
3492.268555	1593.505493
3491.624023	1686.223022
3490.978516	1705.267334
3490.333008	1739.803467
3489.688477	1716.214844
3489.042969	1727.495361
3488.397461	1738.771240
3487.750977	1699.709717
3487.105469	1734.212769
3486.459961	1760.961670
3485.813477	1683.224121
3485.166992	1748.659668
3484.520508	1744.446289
3483.874023	1662.890747
3483.227539	1739.890869
3482.581055	1727.950439
3481.934570	1692.825195
3481.287109	1808.415161
3480.640625	1734.654175
3479.993164	1780.663208
3479.345703	1826.654175
3478.698242	1845.599365
3478.050781	1783.470215
3477.402344	1825.573730
3476.754883	1778.908203
3476.106445	1747.693237
3475.458984	1782.064453
3474.810547	1905.122070
3474.162109	1947.160156
3473.513672	1781.011475
3472.865234	1842.328613
3472.215820	1911.328613
3471.567383	1864.719604
3470.917969	1806.573120
3470.269531	1921.753906
3469.620117	1728.853149
3468.970703	1928.697144
3468.321289	1820.547485
3467.670898	1820.189453
3467.021484	1839.068726
3466.372070	1884.867188
3465.721680	1961.414917
3465.071289	1968.719727
3464.420898	1891.444824
3463.770508	1860.324097
3463.120117	2032.888672
3462.469727	1982.541626
3461.818359	1901.483276
3461.167969	1835.819336
3460.516602	2038.972168
3459.865234	2034.732788
3459.213867	1980.596313
3458.562500	2010.908569
3457.911133	2064.229980
3457.259766	1944.905884
3456.607422	2017.396118
3455.956055	2082.188721
3455.303711	1959.097290
3454.651367	1997.044189
3453.999023	2057.970215
3453.346680	2015.419312
3452.694336	2068.656250
3452.041016	2171.663574
3451.388672	2002.746948
3450.735352	1952.582886
3450.082031	1921.577759
3449.428711	2070.458252
3448.775391	2077.705566
3448.122070	2046.693970
3447.468750	2153.389160
3446.814453	2084.133789
3446.161133	2068.432617
3445.506836	2148.302490
3444.852539	2079.088867
3444.198242	2051.934570
3443.543945	2093.557129
3442.889648	2119.885010
3442.235352	2146.202637
3441.580078	2203.054932
3440.924805	2175.902588
3440.270508	2125.861328
3439.615234	2186.500000
3438.959961	2277.635986
3438.304688	2284.819824
3437.648438	2288.187256
3436.993164	2097.095215
3436.336914	2203.426025
3435.681641	2077.219238
3435.025391	2149.216309
3434.369141	2247.854980
3433.712891	2167.423340
3433.056641	2182.234131
3432.400391	2200.846680
3431.743164	2234.679932
3431.085938	2279.918457
3430.429688	2153.893311
3429.772461	2271.419678
3429.115234	2282.388672
3428.458008	2243.911133
3427.800781	2232.066162
3427.142578	2281.053955
3426.485352	2307.216553
3425.827148	2325.768066
3425.168945	2340.512939
3424.510742	2355.252197
3423.852539	2248.447754
3423.194336	2430.280762
3422.536133	2463.976563
3421.876953	2429.334229
3421.218750	2349.164063
3420.559570	2337.323730
3419.900391	2488.613281
3419.241211	2438.821289
3418.582031	2404.217285
3417.922852	2479.577637
3417.263672	2407.072266
3416.603516	2361.124756
3415.944336	2500.865479
3415.284180	2420.821289
3414.624023	2412.775146
3413.963867	2506.980225
3413.303711	2483.775146
3412.643555	2483.292236
3411.982422	2581.213379
3411.322266	2550.439209
3410.661133	2425.094482
3410.000000	2530.534912
3409.338867	2613.243408
3408.677734	2533.332520
